date,mean,mean_se,mean_ci_lower,mean_ci_upper
2020-09-07,1.2765443836521695,0.9625306793432625,-0.6099810818754965,3.1630698491798355
2020-09-08,1.178880308631626,1.4867285703073407,-1.7350541439574876,4.0928147612207395
2020-09-09,1.0983092919801736,1.7561816235774108,-2.34374344054263,4.540362024502977
2020-09-10,1.0318397255312712,1.918041965967335,-2.7274534486011053,4.791132899663648
2020-09-11,0.9770035890702153,2.020802236220393,-2.983696013799757,4.937703191940188
2020-09-12,0.9317648125500293,2.087849751592867,-3.160345505702888,5.023875130802947
2020-09-13,0.8944436766509537,2.1322765079302206,-3.2847414839731135,5.073628837275021
2020-09-14,0.8636544446703813,2.161991044128248,-3.373770136719132,5.101079026059894
2020-09-15,0.8382539100104226,2.181983162857951,-3.4383545040639563,5.114862324084801
2020-09-16,0.8172989488272768,2.195485564207756,-3.485773685597526,5.12037158325208
2020-09-17,0.8000115017689535,2.204627921547726,-3.5209798237759853,5.121002827313893
2020-09-18,0.7857496845705181,2.2108285322964942,-3.547394614724158,5.118893983865194
2020-09-19,0.7739839548409999,2.215038702929868,-3.567412127263857,5.115380036945856
2020-09-20,0.7642774501128888,2.217899548419208,-3.5827257861164084,5.1112806863421865
2020-09-21,0.7562697671044588,2.2198445136313136,-3.5945455308917493,5.107085065100667
2020-09-22,0.749663579917655,2.2211672709365535,-3.6037442747571102,5.103071434592421
2020-09-23,0.7442136003041828,2.2220670810685985,-3.6109578498223147,5.09938505043068
2020-09-24,0.7397174700936138,2.2226792779616726,-3.616653863894757,5.096088804081984
2020-09-25,0.7360082476186489,2.2230958389721467,-3.6211795309476136,5.093196026184912
2020-09-26,0.7329482091579205,2.223379303190031,-3.6247951490663013,5.090691567382143
2020-09-27,0.7304237352434174,2.223572206520065,-3.627697706560169,5.088545177047004
2020-09-28,0.7283410919607282,2.2237034857651863,-3.630037652435214,5.086719836356671
2020-09-29,0.7266229506014485,2.2237928291766624,-3.631930903663242,5.085176804866139
2020-09-30,0.725205516442174,2.2238536336981105,-3.6334675124946525,5.083878545379001
2020-10-01,0.7240361600414175,2.223895015929205,-3.634717976577954,5.0827902966607885
2020-10-02,0.7230714631043192,2.223923179979799,-3.635737874039876,5.0818808002485145
2020-10-03,0.7222756063579548,2.2239423480547593,-3.6365712995228154,5.081122512238725
2020-10-04,0.7216190395789216,2.223955393633745,-3.637253435166817,5.0804915143246605
2020-10-05,0.7210773843912269,2.2239642723304907,-3.637812492280363,5.079967261062817
2020-10-06,0.7206305290952759,2.2239703150964036,-3.6382711911798706,5.0795322493704225
